"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:21:50.430, 11 giu 2023","15,8","0,1","385.876.000","137.417.624"
"10:21:51.432, 11 giu 2023","12,2","0,0","385.876.000","103.726.336"
"10:21:52.433, 11 giu 2023","14,1","0,0","385.876.000","59.971.776"
"10:21:53.434, 11 giu 2023","15,7","0,0","385.876.000","186.187.976"
"10:21:54.435, 11 giu 2023","15,7","0,1","385.876.000","135.981.376"
"10:21:55.436, 11 giu 2023","13,3","0,1","385.876.000","68.879.680"
"10:21:56.437, 11 giu 2023","12,9","0,0","385.876.000","188.720.992"
"10:21:57.438, 11 giu 2023","14,2","0,1","385.876.000","83.794.752"
"10:21:58.440, 11 giu 2023","12,4","0,0","385.876.000","216.034.648"
"10:21:59.441, 11 giu 2023","12,2","0,1","385.876.000","121.664.264"
"10:22:00.442, 11 giu 2023","13,0","0,1","385.876.000","27.166.944"
"10:22:01.444, 11 giu 2023","11,8","0,0","385.876.000","169.886.160"
"10:22:02.445, 11 giu 2023","13,8","0,0","385.876.000","85.320.440"
"10:22:03.446, 11 giu 2023","14,4","0,0","385.876.000","22.234.864"
"10:22:04.448, 11 giu 2023","12,6","0,0","385.876.000","212.771.304"
"10:22:05.449, 11 giu 2023","12,4","0,0","385.876.000","181.250.944"
"10:22:06.450, 11 giu 2023","13,2","0,0","385.876.000","140.477.312"
"10:22:07.451, 11 giu 2023","12,6","0,0","385.876.000","42.461.536"
"10:22:08.452, 11 giu 2023","14,7","0,0","385.876.000","198.555.728"
"10:22:09.453, 11 giu 2023","13,2","0,0","385.876.000","137.130.960"
"10:22:10.455, 11 giu 2023","12,2","0,0","385.876.000","69.829.432"
"10:22:11.456, 11 giu 2023","12,6","0,0","385.876.000","11.194.552"
"10:22:12.457, 11 giu 2023","13,0","0,0","385.876.000","190.425.368"
"10:22:13.458, 11 giu 2023","13,2","0,0","385.876.000","147.601.040"
"10:22:14.459, 11 giu 2023","12,4","0,0","385.876.000","62.287.360"
"10:22:15.460, 11 giu 2023","12,0","0,0","385.876.000","230.139.168"
"10:22:16.462, 11 giu 2023","14,5","0,0","385.876.000","206.596.880"
"10:22:17.463, 11 giu 2023","13,5","0,0","385.876.000","200.461.136"
"10:22:18.464, 11 giu 2023","12,6","0,0","385.876.000","136.952.528"
"10:22:19.465, 11 giu 2023","12,4","0,0","385.876.000","105.493.208"
"10:22:20.467, 11 giu 2023","12,4","0,0","385.876.000","71.328.888"
"10:22:21.468, 11 giu 2023","12,2","0,0","385.876.000","22.388.384"
"10:22:22.469, 11 giu 2023","12,8","0,0","385.876.000","223.722.104"
"10:22:23.471, 11 giu 2023","12,8","0,0","385.876.000","148.875.552"
"10:22:24.472, 11 giu 2023","12,8","0,0","385.876.000","60.788.760"
"10:22:25.474, 11 giu 2023","12,2","0,0","385.876.000","192.848.816"
"10:22:26.475, 11 giu 2023","13,4","0,0","385.876.000","116.622.592"
"10:22:27.476, 11 giu 2023","12,2","0,0","385.876.000","47.257.544"
"10:22:28.477, 11 giu 2023","12,2","0,0","385.876.000","223.615.376"
"10:22:29.478, 11 giu 2023","13,0","0,0","385.876.000","185.851.824"
"10:22:30.480, 11 giu 2023","12,0","0,0","385.876.000","118.474.360"
"10:22:31.482, 11 giu 2023","12,2","0,0","385.876.000","66.748.536"
"10:22:32.484, 11 giu 2023","13,2","0,0","385.876.000","21.132.032"
"10:22:33.486, 11 giu 2023","12,2","0,0","385.876.000","116.274.944"
"10:22:34.487, 11 giu 2023","12,6","0,0","385.876.000","218.413.120"
"10:22:35.488, 11 giu 2023","12,2","0,1","385.876.000","122.455.808"
"10:22:36.489, 11 giu 2023","14,0","0,1","385.876.000","28.370.576"
"10:22:37.490, 11 giu 2023","13,2","0,0","385.876.000","164.438.208"
"10:22:38.492, 11 giu 2023","14,7","0,1","385.876.000","70.181.624"
"10:22:39.494, 11 giu 2023","12,6","0,0","385.876.000","214.910.384"
"10:22:40.495, 11 giu 2023","13,8","0,1","385.876.000","131.016.088"
"10:22:41.497, 11 giu 2023","12,3","0,1","385.876.000","57.249.424"
"10:22:42.498, 11 giu 2023","12,2","0,0","385.876.000","216.889.088"
"10:22:43.499, 11 giu 2023","13,0","0,1","385.876.000","147.849.696"
"10:22:44.500, 11 giu 2023","13,5","0,1","385.876.000","65.855.488"
"10:22:45.501, 11 giu 2023","12,9","0,0","385.876.000","234.827.264"
"10:22:46.502, 11 giu 2023","15,1","0,0","385.876.000","89.683.600"
"10:22:47.504, 11 giu 2023","13,6","0,0","385.876.000","14.369.744"
"10:22:48.504, 11 giu 2023","12,2","0,0","385.876.000","144.123.616"
"10:22:49.505, 11 giu 2023","12,4","0,0","385.876.000","89.436.416"
"10:22:50.506, 11 giu 2023","12,2","0,1","385.876.000","38.387.808"
"10:22:51.507, 11 giu 2023","13,1","0,0","385.876.000","222.859.984"
"10:22:52.508, 11 giu 2023","13,3","0,0","385.876.000","189.848.448"
"10:22:53.510, 11 giu 2023","13,5","0,0","385.876.000","147.963.008"
"10:22:54.511, 11 giu 2023","13,0","0,0","385.876.000","70.796.296"
"10:22:55.512, 11 giu 2023","12,6","0,0","385.876.000","191.914.888"
"10:22:56.513, 11 giu 2023","13,6","0,0","385.876.000","80.344.848"
"10:22:57.514, 11 giu 2023","13,0","0,0","385.876.000","224.976.384"
"10:22:58.515, 11 giu 2023","13,3","0,0","385.876.000","158.213.632"
"10:22:59.516, 11 giu 2023","13,3","0,0","385.876.000","44.223.328"
"10:23:00.518, 11 giu 2023","13,2","0,0","385.876.000","172.980.696"
"10:23:01.519, 11 giu 2023","13,3","0,0","385.876.000","110.736.864"
"10:23:02.520, 11 giu 2023","14,5","0,0","385.876.000","210.544.680"
"10:23:03.521, 11 giu 2023","12,3","0,0","385.876.000","132.963.176"
"10:23:04.522, 11 giu 2023","12,5","0,0","385.876.000","110.417.264"
"10:23:05.524, 11 giu 2023","14,9","0,0","385.876.000","89.604.544"
"10:23:06.525, 11 giu 2023","12,7","0,0","385.876.000","212.862.336"
"10:23:07.526, 11 giu 2023","13,7","0,0","385.876.000","138.590.112"
"10:23:08.527, 11 giu 2023","12,7","0,1","385.876.000","73.688.736"
"10:23:09.529, 11 giu 2023","12,5","0,0","385.876.000","228.630.136"
"10:23:10.530, 11 giu 2023","12,2","0,0","385.876.000","196.845.416"
"10:23:11.531, 11 giu 2023","13,0","0,1","385.876.000","104.936.256"
"10:23:12.532, 11 giu 2023","12,2","0,0","385.876.000","234.930.752"
"10:23:13.533, 11 giu 2023","13,0","0,0","385.876.000","148.949.456"
"10:23:14.534, 11 giu 2023","15,7","0,0","385.876.000","59.105.448"
"10:23:15.535, 11 giu 2023","12,2","0,0","385.876.000","203.946.936"
"10:23:16.535, 11 giu 2023","13,0","0,0","385.876.000","121.641.488"
"10:23:17.536, 11 giu 2023","12,2","0,0","385.876.000","55.578.272"
"10:23:18.537, 11 giu 2023","12,2","0,0","385.876.000","90.579.864"
"10:23:19.539, 11 giu 2023","14,5","0,0","385.876.000","210.114.808"
"10:23:20.541, 11 giu 2023","14,4","0,0","385.876.000","126.708.400"
"10:23:21.543, 11 giu 2023","14,7","0,0","385.876.000","52.227.768"
"10:23:22.545, 11 giu 2023","13,3","0,0","385.876.000","225.838.080"
"10:23:23.546, 11 giu 2023","13,0","0,0","385.876.000","199.698.264"
"10:23:24.548, 11 giu 2023","12,7","0,0","385.876.000","123.500.736"
"10:23:25.550, 11 giu 2023","12,4","0,0","385.876.000","101.223.504"
"10:23:26.552, 11 giu 2023","12,5","0,0","385.876.000","84.609.480"
"10:23:27.554, 11 giu 2023","12,8","0,0","385.876.000","54.204.048"
"10:23:28.556, 11 giu 2023","13,8","0,0","385.876.000","185.009.760"
"10:23:29.557, 11 giu 2023","12,8","0,0","385.876.000","79.287.296"
"10:23:30.558, 11 giu 2023","13,1","0,0","385.876.000","232.178.232"
"10:23:31.560, 11 giu 2023","12,4","0,0","385.876.000","147.845.112"
"10:23:32.561, 11 giu 2023","12,4","0,0","385.876.000","60.593.032"
"10:23:33.563, 11 giu 2023","12,8","0,0","385.876.000","186.404.464"
"10:23:34.564, 11 giu 2023","13,6","0,0","385.876.000","115.035.520"
"10:23:35.566, 11 giu 2023","12,6","0,0","385.876.000","54.162.304"
"10:23:36.567, 11 giu 2023","13,6","0,0","385.876.000","207.890.712"
"10:23:37.569, 11 giu 2023","14,2","0,1","385.876.000","144.674.112"
"10:23:38.570, 11 giu 2023","12,2","0,0","385.876.000","96.447.664"
"10:23:39.570, 11 giu 2023","13,8","0,0","385.876.000","30.234.800"
"10:23:40.571, 11 giu 2023","12,7","0,0","385.876.000","221.210.608"
"10:23:41.573, 11 giu 2023","12,3","0,0","385.876.000","165.439.568"
"10:23:42.574, 11 giu 2023","12,2","0,0","385.876.000","18.551.168"
"10:23:43.576, 11 giu 2023","13,8","0,0","385.876.000","156.915.984"
"10:23:44.578, 11 giu 2023","12,4","0,0","385.876.000","73.477.120"
"10:23:45.580, 11 giu 2023","12,2","0,0","385.876.000","25.804.824"
"10:23:46.581, 11 giu 2023","12,6","0,0","385.876.000","13.282.816"
"10:23:47.582, 11 giu 2023","13,2","0,0","385.876.000","222.952.328"
"10:23:48.583, 11 giu 2023","12,8","0,0","385.876.000","202.134.048"
"10:23:49.584, 11 giu 2023","12,2","0,0","385.876.000","161.984.512"
"10:23:50.585, 11 giu 2023","12,4","0,0","385.876.000","113.452.240"
"10:23:51.586, 11 giu 2023","14,7","0,0","385.876.000","25.330.880"
"10:23:52.587, 11 giu 2023","13,0","0,0","385.876.000","172.550.944"
"10:23:53.588, 11 giu 2023","13,5","0,1","385.876.000","97.356.832"
"10:23:54.589, 11 giu 2023","13,5","0,0","385.876.000","235.784.576"
"10:23:55.590, 11 giu 2023","15,6","0,1","385.876.000","170.565.648"
"10:23:56.591, 11 giu 2023","12,5","0,0","385.876.000","111.169.912"
"10:23:57.593, 11 giu 2023","12,2","0,0","385.876.000","217.178.768"
"10:23:58.594, 11 giu 2023","20,4","0,1","385.876.000","127.324.728"
"10:23:59.596, 11 giu 2023","12,8","0,1","385.876.000","30.927.016"
"10:24:00.598, 11 giu 2023","12,4","0,0","385.876.000","175.731.824"
"10:24:01.599, 11 giu 2023","12,3","0,1","385.876.000","97.912.640"
"10:24:02.600, 11 giu 2023","12,3","0,1","385.876.000","34.981.440"
"10:24:03.602, 11 giu 2023","13,1","0,0","385.876.000","204.852.352"
"10:24:04.603, 11 giu 2023","14,4","0,0","385.876.000","124.351.944"
"10:24:05.604, 11 giu 2023","12,2","0,0","385.876.000","32.018.328"
"10:24:06.605, 11 giu 2023","12,7","0,0","385.876.000","203.056.192"
"10:24:07.606, 11 giu 2023","14,5","0,0","385.876.000","169.493.248"
"10:24:08.607, 11 giu 2023","14,1","0,0","385.876.000","132.865.816"
"10:24:09.609, 11 giu 2023","12,6","0,0","385.876.000","72.470.592"
"10:24:10.610, 11 giu 2023","13,8","0,0","385.876.000","34.065.408"
"10:24:11.612, 11 giu 2023","15,1","0,0","385.876.000","226.318.336"
"10:24:12.614, 11 giu 2023","12,6","0,1","385.876.000","188.357.368"
"10:24:13.616, 11 giu 2023","12,4","0,0","385.876.000","163.268.448"
"10:24:14.618, 11 giu 2023","13,1","0,0","385.876.000","74.289.744"
"10:24:15.620, 11 giu 2023","12,2","0,0","385.876.000","176.307.792"
"10:24:16.621, 11 giu 2023","12,6","0,0","385.876.000","81.687.104"
"10:24:17.622, 11 giu 2023","13,6","0,0","385.876.000","197.094.112"
"10:24:18.623, 11 giu 2023","14,5","0,1","385.876.000","83.588.672"
"10:24:19.624, 11 giu 2023","12,2","0,0","385.876.000","219.904.600"
"10:24:20.625, 11 giu 2023","13,0","0,0","385.876.000","150.741.704"
"10:24:21.626, 11 giu 2023","13,4","0,0","385.876.000","100.884.240"
"10:24:22.627, 11 giu 2023","13,2","0,1","385.876.000","78.065.808"
"10:24:23.628, 11 giu 2023","12,8","0,0","385.876.000","230.500.048"
"10:24:24.629, 11 giu 2023","12,2","0,0","385.876.000","138.117.376"
"10:24:25.630, 11 giu 2023","13,0","0,0","385.876.000","108.811.208"
"10:24:26.631, 11 giu 2023","13,2","0,0","385.876.000","196.173.560"
"10:24:27.632, 11 giu 2023","13,0","0,0","385.876.000","97.112.968"
"10:24:28.633, 11 giu 2023","12,2","0,1","385.876.000","39.162.512"
"10:24:29.634, 11 giu 2023","13,4","0,0","385.876.000","236.524.464"
"10:24:30.635, 11 giu 2023","11,8","0,0","385.876.000","218.218.440"
"10:24:31.637, 11 giu 2023","14,4","0,0","385.876.000","166.641.088"
