"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"00:03:03.793, 19 mag 2023","0,0","0,0","266.338.336","20.971.520"
"00:03:04.782, 19 mag 2023","1,3","0,0","266.338.336","20.971.520"
"00:03:05.782, 19 mag 2023","0,3","0,0","266.338.336","20.971.520"
"00:03:06.784, 19 mag 2023","0,9","0,0","266.338.336","20.971.520"
"00:03:07.784, 19 mag 2023","20,2","0,2","266.338.336","28.484.096"
"00:03:08.786, 19 mag 2023","47,2","0,1","266.338.336","70.557.184"
"00:03:09.787, 19 mag 2023","43,1","0,2","320.864.288","41.319.696"
"00:03:10.787, 19 mag 2023","24,3","0,1","320.864.288","127.272.064"
