"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"16:57:25.821, 10 giu 2023","266.338.336","20.971.520","0,0","0,0"
"16:57:26.812, 10 giu 2023","266.338.336","20.971.520","0,3","0,0"
"16:57:27.814, 10 giu 2023","266.338.336","20.971.520","2,8","0,0"
"16:57:28.815, 10 giu 2023","266.338.336","20.971.520","0,1","0,0"
"16:57:29.816, 10 giu 2023","266.338.336","139.506.176","38,4","0,2"
"16:57:30.817, 10 giu 2023","266.338.336","25.619.040","15,2","0,1"
"16:57:31.819, 10 giu 2023","266.338.336","63.101.016","14,0","0,0"
"16:57:32.820, 10 giu 2023","266.338.336","130.447.072","16,2","0,0"
"16:57:33.821, 10 giu 2023","266.338.336","94.953.776","13,7","0,0"
"16:57:34.822, 10 giu 2023","266.338.336","29.684.880","14,4","0,1"
"16:57:35.824, 10 giu 2023","266.338.336","42.628.784","12,5","0,1"
"16:57:36.825, 10 giu 2023","320.864.288","13.095.248","12,8","0,1"
"16:57:37.826, 10 giu 2023","320.864.288","122.442.400","13,4","0,0"
"16:57:38.827, 10 giu 2023","320.864.288","73.932.368","14,4","0,1"
"16:57:39.828, 10 giu 2023","320.864.288","31.262.824","15,3","0,1"
"16:57:40.829, 10 giu 2023","320.864.288","35.305.408","14,6","0,0"
"16:57:41.830, 10 giu 2023","320.864.288","35.265.408","13,5","0,0"
"16:57:42.832, 10 giu 2023","320.864.288","29.432.512","13,6","0,0"
"16:57:43.833, 10 giu 2023","320.864.288","70.393.816","17,4","0,0"
"16:57:44.834, 10 giu 2023","320.864.288","125.177.072","13,4","0,0"
"16:57:45.835, 10 giu 2023","320.864.288","175.595.408","12,3","0,0"
"16:57:46.836, 10 giu 2023","320.864.288","186.214.936","14,9","0,0"
"16:57:47.837, 10 giu 2023","320.864.288","23.247.096","13,4","0,1"
"16:57:48.838, 10 giu 2023","320.864.288","184.709.728","14,9","0,0"
"16:57:49.840, 10 giu 2023","320.864.288","179.258.144","14,6","0,0"
"16:57:50.841, 10 giu 2023","320.864.288","175.476.176","14,2","0,0"
"16:57:51.842, 10 giu 2023","320.864.288","26.957.576","12,6","0,1"
"16:57:52.843, 10 giu 2023","320.864.288","56.341.888","12,4","0,1"
"16:57:53.845, 10 giu 2023","320.864.288","83.984.320","13,8","0,1"
"16:57:54.847, 10 giu 2023","320.864.288","105.411.872","13,4","0,1"
"16:57:55.848, 10 giu 2023","320.864.288","156.958.368","12,4","0,0"
"16:57:56.849, 10 giu 2023","320.864.288","12.328.904","12,4","0,1"
"16:57:57.850, 10 giu 2023","320.864.288","37.891.728","12,8","0,0"
"16:57:58.852, 10 giu 2023","320.864.288","41.666.928","12,3","0,0"
"16:57:59.853, 10 giu 2023","320.864.288","139.351.784","13,2","0,0"
"16:58:00.855, 10 giu 2023","320.864.288","137.776.920","12,1","0,0"
"16:58:01.856, 10 giu 2023","320.864.288","14.071.360","12,7","0,1"
"16:58:02.858, 10 giu 2023","320.864.288","43.494.952","12,9","0,0"
"16:58:03.859, 10 giu 2023","320.864.288","100.263.840","12,7","0,0"
"16:58:04.860, 10 giu 2023","320.864.288","71.262.528","12,4","0,0"
"16:58:05.860, 10 giu 2023","320.864.288","78.773.808","15,3","0,0"
"16:58:06.861, 10 giu 2023","320.864.288","120.838.720","13,2","0,0"
"16:58:07.863, 10 giu 2023","320.864.288","169.185.728","12,6","0,0"
"16:58:08.865, 10 giu 2023","320.864.288","142.499.664","12,3","0,0"
"16:58:09.867, 10 giu 2023","320.864.288","184.529.360","13,7","0,0"
"16:58:10.869, 10 giu 2023","320.864.288","12.545.872","13,6","0,1"
"16:58:11.870, 10 giu 2023","320.864.288","16.680.480","14,1","0,0"
"16:58:12.872, 10 giu 2023","320.864.288","33.384.600","13,0","0,0"
"16:58:13.874, 10 giu 2023","320.864.288","42.383.248","12,3","0,0"
"16:58:14.876, 10 giu 2023","320.864.288","38.290.936","12,2","0,0"
"16:58:15.878, 10 giu 2023","320.864.288","22.561.216","14,2","0,0"
"16:58:16.879, 10 giu 2023","320.864.288","75.176.256","12,2","0,0"
"16:58:17.881, 10 giu 2023","320.864.288","117.464.584","12,4","0,0"
"16:58:18.883, 10 giu 2023","320.864.288","120.699.048","13,0","0,1"
"16:58:19.885, 10 giu 2023","320.864.288","112.786.264","14,5","0,0"
"16:58:20.886, 10 giu 2023","320.864.288","97.721.344","17,5","0,0"
"16:58:21.886, 10 giu 2023","320.864.288","124.940.288","13,5","0,1"
"16:58:22.888, 10 giu 2023","320.864.288","97.969.632","12,5","0,0"
"16:58:23.889, 10 giu 2023","320.864.288","93.448.144","13,4","0,0"
"16:58:24.891, 10 giu 2023","320.864.288","72.479.568","12,2","0,0"
"16:58:25.893, 10 giu 2023","320.864.288","88.530.648","13,7","0,0"
"16:58:26.894, 10 giu 2023","320.864.288","97.081.552","12,2","0,0"
"16:58:27.895, 10 giu 2023","320.864.288","116.314.976","13,4","0,0"
"16:58:28.897, 10 giu 2023","320.864.288","175.267.232","12,4","0,0"
"16:58:29.897, 10 giu 2023","320.864.288","34.957.216","14,2","0,1"
"16:58:30.898, 10 giu 2023","320.864.288","81.095.848","13,4","0,0"
"16:58:31.900, 10 giu 2023","320.864.288","108.359.808","12,4","0,1"
"16:58:32.901, 10 giu 2023","320.864.288","75.868.000","12,3","0,0"
"16:58:33.903, 10 giu 2023","320.864.288","67.590.520","12,5","0,1"
"16:58:34.904, 10 giu 2023","320.864.288","67.583.680","13,1","0,0"
"16:58:35.905, 10 giu 2023","320.864.288","63.312.080","12,3","0,0"
"16:58:36.906, 10 giu 2023","320.864.288","73.609.120","12,3","0,0"
"16:58:37.907, 10 giu 2023","320.864.288","83.967.400","15,2","0,0"
"16:58:38.908, 10 giu 2023","320.864.288","165.870.504","13,5","0,0"
"16:58:39.909, 10 giu 2023","320.864.288","79.576.944","13,4","0,0"
"16:58:40.911, 10 giu 2023","320.864.288","35.555.840","12,3","0,0"
"16:58:41.912, 10 giu 2023","320.864.288","31.291.216","12,3","0,0"
"16:58:42.913, 10 giu 2023","320.864.288","150.337.312","15,2","0,0"
"16:58:43.914, 10 giu 2023","320.864.288","156.784.056","12,7","0,0"
"16:58:44.916, 10 giu 2023","320.864.288","160.923.424","12,6","0,0"
"16:58:45.917, 10 giu 2023","320.864.288","174.037.840","12,3","0,0"
"16:58:46.919, 10 giu 2023","320.864.288","60.386.672","12,3","0,1"
"16:58:47.920, 10 giu 2023","320.864.288","140.034.864","12,3","0,0"
"16:58:48.921, 10 giu 2023","320.864.288","24.772.912","14,2","0,1"
"16:58:49.922, 10 giu 2023","320.864.288","94.090.688","12,4","0,0"
"16:58:50.923, 10 giu 2023","320.864.288","159.127.936","13,2","0,0"
"16:58:51.924, 10 giu 2023","320.864.288","14.513.872","13,4","0,1"
"16:58:52.925, 10 giu 2023","320.864.288","39.476.128","12,2","0,0"
"16:58:53.926, 10 giu 2023","320.864.288","50.002.632","13,3","0,0"
"16:58:54.927, 10 giu 2023","320.864.288","58.408.072","12,5","0,0"
"16:58:55.927, 10 giu 2023","320.864.288","69.537.488","12,3","0,0"
"16:58:56.928, 10 giu 2023","320.864.288","86.196.960","12,2","0,0"
"16:58:57.929, 10 giu 2023","320.864.288","102.977.888","15,7","0,0"
"16:58:58.930, 10 giu 2023","320.864.288","140.483.440","13,4","0,0"
"16:58:59.931, 10 giu 2023","320.864.288","163.259.240","12,5","0,0"
"16:59:00.931, 10 giu 2023","320.864.288","5.410.432","14,3","0,1"
"16:59:01.932, 10 giu 2023","320.864.288","57.592.992","12,6","0,0"
"16:59:02.933, 10 giu 2023","320.864.288","92.829.472","12,0","0,0"
"16:59:03.933, 10 giu 2023","320.864.288","162.177.568","12,3","0,0"
"16:59:04.934, 10 giu 2023","320.864.288","182.388.080","16,3","0,0"
"16:59:05.935, 10 giu 2023","320.864.288","31.165.424","16,9","0,1"
"16:59:06.937, 10 giu 2023","320.864.288","83.734.304","14,5","0,0"
"16:59:07.938, 10 giu 2023","320.864.288","136.394.848","12,4","0,0"
"16:59:08.940, 10 giu 2023","320.864.288","86.799.008","12,6","0,0"
"16:59:09.941, 10 giu 2023","320.864.288","89.128.312","12,8","0,0"
"16:59:10.941, 10 giu 2023","320.864.288","97.572.024","12,4","0,0"
"16:59:11.942, 10 giu 2023","320.864.288","150.158.976","13,4","0,0"
"16:59:12.943, 10 giu 2023","320.864.288","20.227.584","13,2","0,1"
"16:59:13.944, 10 giu 2023","320.864.288","77.381.288","13,0","0,0"
"16:59:14.945, 10 giu 2023","320.864.288","135.317.760","12,9","0,0"
"16:59:15.946, 10 giu 2023","320.864.288","29.053.880","12,2","0,0"
"16:59:16.947, 10 giu 2023","320.864.288","29.064.640","12,8","0,0"
"16:59:17.949, 10 giu 2023","320.864.288","15.861.488","12,4","0,0"
"16:59:18.950, 10 giu 2023","320.864.288","142.938.560","12,7","0,0"
"16:59:19.952, 10 giu 2023","320.864.288","128.554.240","13,4","0,0"
"16:59:20.953, 10 giu 2023","320.864.288","113.804.080","12,8","0,1"
"16:59:21.954, 10 giu 2023","320.864.288","94.837.968","12,4","0,0"
"16:59:22.955, 10 giu 2023","320.864.288","109.350.176","13,7","0,0"
"16:59:23.956, 10 giu 2023","320.864.288","166.406.776","12,3","0,0"
"16:59:24.957, 10 giu 2023","320.864.288","97.342.152","13,4","0,0"
"16:59:25.959, 10 giu 2023","320.864.288","117.065.104","12,3","0,0"
"16:59:26.960, 10 giu 2023","320.864.288","151.332.048","13,0","0,0"
"16:59:27.961, 10 giu 2023","320.864.288","12.278.720","13,3","0,0"
"16:59:28.963, 10 giu 2023","320.864.288","47.893.456","11,9","0,0"
"16:59:29.964, 10 giu 2023","320.864.288","31.501.488","12,4","0,0"
"16:59:30.965, 10 giu 2023","320.864.288","57.527.584","13,3","0,0"
"16:59:31.966, 10 giu 2023","320.864.288","71.086.208","12,5","0,0"
"16:59:32.968, 10 giu 2023","320.864.288","102.451.200","13,4","0,0"
"16:59:33.969, 10 giu 2023","320.864.288","142.592.096","13,4","0,0"
"16:59:34.970, 10 giu 2023","320.864.288","133.660.640","13,7","0,0"
"16:59:35.971, 10 giu 2023","320.864.288","161.137.680","14,3","0,0"
"16:59:36.973, 10 giu 2023","320.864.288","184.270.248","13,5","0,0"
"16:59:37.975, 10 giu 2023","320.864.288","18.581.872","12,2","0,0"
"16:59:38.976, 10 giu 2023","320.864.288","189.397.920","13,0","0,0"
"16:59:39.976, 10 giu 2023","320.864.288","31.571.568","12,3","0,1"
"16:59:40.977, 10 giu 2023","320.864.288","52.587.440","12,3","0,1"
"16:59:41.978, 10 giu 2023","320.864.288","37.197.144","12,3","0,0"
"16:59:42.980, 10 giu 2023","320.864.288","60.204.240","13,1","0,0"
"16:59:43.981, 10 giu 2023","320.864.288","139.548.600","12,3","0,0"
"16:59:44.982, 10 giu 2023","320.864.288","113.744.144","12,3","0,0"
"16:59:45.983, 10 giu 2023","320.864.288","13.922.640","12,8","0,1"
"16:59:46.983, 10 giu 2023","320.864.288","173.219.112","13,3","0,0"
"16:59:47.985, 10 giu 2023","320.864.288","33.150.648","12,7","0,0"
"16:59:48.987, 10 giu 2023","320.864.288","75.209.120","13,1","0,0"
"16:59:49.989, 10 giu 2023","320.864.288","127.573.664","14,0","0,0"
"16:59:50.991, 10 giu 2023","320.864.288","111.940.480","12,2","0,0"
"16:59:51.993, 10 giu 2023","320.864.288","105.712.712","13,2","0,0"
"16:59:52.995, 10 giu 2023","320.864.288","116.107.392","12,7","0,1"
"16:59:53.996, 10 giu 2023","320.864.288","120.906.752","13,5","0,1"
"16:59:54.997, 10 giu 2023","320.864.288","120.343.776","12,2","0,0"
"16:59:55.998, 10 giu 2023","320.864.288","160.124.960","12,1","0,1"
"16:59:56.999, 10 giu 2023","320.864.288","19.669.968","15,7","0,1"
"16:59:58.000, 10 giu 2023","320.864.288","153.750.384","13,1","0,0"
"16:59:59.001, 10 giu 2023","320.864.288","157.686.080","12,2","0,0"
"17:00:00.002, 10 giu 2023","320.864.288","174.408.280","14,3","0,0"
"17:00:01.002, 10 giu 2023","320.864.288","6.721.472","13,4","0,1"
"17:00:02.003, 10 giu 2023","320.864.288","191.206.880","12,9","0,0"
"17:00:03.004, 10 giu 2023","320.864.288","185.352.480","12,0","0,0"
"17:00:04.005, 10 giu 2023","320.864.288","185.395.008","12,4","0,0"
"17:00:05.006, 10 giu 2023","320.864.288","16.140.496","14,0","0,1"
"17:00:06.008, 10 giu 2023","320.864.288","14.043.120","14,9","0,0"
"17:00:07.009, 10 giu 2023","320.864.288","181.738.880","18,3","0,0"
"17:00:08.010, 10 giu 2023","320.864.288","163.160.512","13,5","0,0"
"17:00:09.011, 10 giu 2023","320.864.288","179.273.856","12,2","0,0"
"17:00:10.012, 10 giu 2023","320.864.288","187.381.456","13,1","0,0"
"17:00:11.012, 10 giu 2023","320.864.288","28.474.656","13,0","0,1"
"17:00:12.013, 10 giu 2023","320.864.288","62.034.624","14,8","0,0"
"17:00:13.015, 10 giu 2023","320.864.288","100.474.568","13,6","0,0"
"17:00:14.017, 10 giu 2023","320.864.288","159.206.656","13,0","0,0"
"17:00:15.018, 10 giu 2023","320.864.288","105.328.256","12,7","0,0"
"17:00:16.018, 10 giu 2023","320.864.288","126.427.456","13,4","0,0"
"17:00:17.020, 10 giu 2023","320.864.288","178.768.016","13,5","0,0"
"17:00:18.023, 10 giu 2023","320.864.288","38.384.872","15,5","0,1"
"17:00:19.024, 10 giu 2023","320.864.288","31.037.216","12,8","0,0"
"17:00:20.026, 10 giu 2023","320.864.288","39.698.208","12,2","0,0"
"17:00:21.027, 10 giu 2023","320.864.288","96.057.448","13,4","0,0"
"17:00:22.028, 10 giu 2023","320.864.288","161.007.840","14,3","0,0"
"17:00:23.030, 10 giu 2023","320.864.288","10.064.896","12,2","0,1"
"17:00:24.030, 10 giu 2023","320.864.288","52.369.976","16,6","0,0"
"17:00:25.031, 10 giu 2023","320.864.288","123.801.064","12,3","0,0"
"17:00:26.032, 10 giu 2023","320.864.288","6.585.640","13,8","0,1"
"17:00:27.033, 10 giu 2023","320.864.288","73.637.504","12,8","0,0"
"17:00:28.034, 10 giu 2023","320.864.288","119.870.640","12,4","0,0"
"17:00:29.035, 10 giu 2023","320.864.288","100.351.032","14,6","0,0"
"17:00:30.037, 10 giu 2023","320.864.288","119.137.520","13,8","0,0"
"17:00:31.037, 10 giu 2023","320.864.288","68.492.144","12,0","0,0"
"17:00:32.038, 10 giu 2023","320.864.288","70.649.440","12,2","0,0"
"17:00:33.039, 10 giu 2023","320.864.288","119.185.088","12,6","0,0"
"17:00:34.041, 10 giu 2023","320.864.288","169.653.376","13,4","0,0"
"17:00:35.042, 10 giu 2023","320.864.288","186.888.152","14,2","0,0"
"17:00:36.043, 10 giu 2023","320.864.288","32.187.008","12,2","0,1"
"17:00:37.044, 10 giu 2023","320.864.288","63.713.024","13,4","0,0"
"17:00:38.045, 10 giu 2023","320.864.288","99.547.536","14,5","0,1"
"17:00:39.047, 10 giu 2023","320.864.288","162.453.128","13,4","0,0"
"17:00:40.047, 10 giu 2023","320.864.288","28.374.256","12,3","0,1"
"17:00:41.049, 10 giu 2023","320.864.288","78.713.568","12,9","0,0"
"17:00:42.051, 10 giu 2023","320.864.288","92.091.400","15,4","0,1"
"17:00:43.052, 10 giu 2023","320.864.288","121.272.960","13,9","0,1"
"17:00:44.053, 10 giu 2023","320.864.288","148.542.344","13,5","0,1"
"17:00:45.054, 10 giu 2023","320.864.288","176.045.376","13,3","0,1"
"17:00:46.055, 10 giu 2023","320.864.288","180.389.152","14,3","0,1"
"17:00:47.056, 10 giu 2023","320.864.288","178.310.816","12,0","0,1"
"17:00:48.057, 10 giu 2023","320.864.288","169.798.488","12,5","0,1"
"17:00:49.059, 10 giu 2023","320.864.288","178.185.616","14,3","0,1"
"17:00:50.060, 10 giu 2023","320.864.288","184.348.864","12,4","0,1"
"17:00:51.061, 10 giu 2023","320.864.288","5.573.560","12,5","0,1"
"17:00:52.061, 10 giu 2023","320.864.288","11.816.888","12,0","0,0"
"17:00:53.062, 10 giu 2023","320.864.288","49.215.920","13,0","0,0"
"17:00:54.063, 10 giu 2023","320.864.288","86.969.816","12,3","0,0"
"17:00:55.065, 10 giu 2023","320.864.288","134.415.680","12,4","0,0"
"17:00:56.066, 10 giu 2023","320.864.288","124.437.400","12,3","0,0"
"17:00:57.067, 10 giu 2023","320.864.288","137.805.768","14,1","0,0"
"17:00:58.069, 10 giu 2023","320.864.288","104.560.552","12,7","0,0"
"17:00:59.069, 10 giu 2023","320.864.288","76.163.648","12,6","0,0"
"17:01:00.070, 10 giu 2023","320.864.288","110.319.392","12,3","0,0"
"17:01:01.071, 10 giu 2023","320.864.288","128.384.080","13,0","0,0"
"17:01:02.072, 10 giu 2023","320.864.288","160.237.808","14,3","0,0"
"17:01:03.073, 10 giu 2023","320.864.288","165.071.328","14,0","0,0"
"17:01:04.075, 10 giu 2023","320.864.288","190.321.640","14,5","0,0"
"17:01:05.076, 10 giu 2023","320.864.288","55.720.528","12,3","0,1"
"17:01:06.077, 10 giu 2023","320.864.288","127.028.840","13,1","0,0"
"17:01:07.078, 10 giu 2023","320.864.288","126.476.096","12,3","0,0"
"17:01:08.080, 10 giu 2023","320.864.288","164.180.080","12,3","0,0"
"17:01:09.081, 10 giu 2023","320.864.288","14.101.168","12,9","0,0"
"17:01:10.082, 10 giu 2023","320.864.288","66.430.464","13,2","0,1"
"17:01:11.084, 10 giu 2023","320.864.288","131.656.000","12,3","0,0"
"17:01:12.085, 10 giu 2023","320.864.288","134.265.680","11,9","0,0"
"17:01:13.086, 10 giu 2023","320.864.288","131.083.776","12,5","0,0"
"17:01:14.087, 10 giu 2023","320.864.288","121.680.392","12,3","0,0"
"17:01:15.088, 10 giu 2023","320.864.288","127.071.088","13,9","0,0"
"17:01:16.089, 10 giu 2023","320.864.288","158.590.464","12,3","0,1"
"17:01:17.090, 10 giu 2023","320.864.288","190.038.544","13,6","0,0"
"17:01:18.091, 10 giu 2023","320.864.288","24.477.472","12,3","0,1"
"17:01:19.091, 10 giu 2023","320.864.288","82.911.392","13,1","0,0"
"17:01:20.093, 10 giu 2023","320.864.288","112.912.880","12,6","0,0"
"17:01:21.093, 10 giu 2023","320.864.288","142.370.560","13,5","0,0"
"17:01:22.095, 10 giu 2023","320.864.288","59.616.376","11,9","0,0"
"17:01:23.096, 10 giu 2023","320.864.288","188.326.912","13,4","0,0"
"17:01:24.097, 10 giu 2023","320.864.288","183.254.888","12,4","0,1"
"17:01:25.098, 10 giu 2023","320.864.288","164.824.392","13,4","0,1"
"17:01:26.100, 10 giu 2023","320.864.288","150.083.520","13,4","0,1"
"17:01:27.101, 10 giu 2023","320.864.288","141.636.256","14,3","0,1"
"17:01:28.102, 10 giu 2023","320.864.288","128.923.744","14,8","0,1"
"17:01:29.104, 10 giu 2023","320.864.288","124.590.368","13,4","0,1"
"17:01:30.105, 10 giu 2023","320.864.288","122.644.264","12,3","0,1"
"17:01:31.107, 10 giu 2023","320.864.288","112.524.432","13,4","0,1"
"17:01:32.108, 10 giu 2023","320.864.288","67.719.200","13,0","0,0"
"17:01:33.109, 10 giu 2023","320.864.288","21.537.248","12,3","0,0"
"17:01:34.109, 10 giu 2023","320.864.288","29.312.088","12,3","0,0"
"17:01:35.110, 10 giu 2023","320.864.288","16.283.096","12,8","0,0"
"17:01:36.112, 10 giu 2023","320.864.288","20.655.504","13,3","0,0"
"17:01:37.113, 10 giu 2023","320.864.288","194.744.920","12,3","0,0"
"17:01:38.114, 10 giu 2023","320.864.288","26.702.848","12,3","0,1"
"17:01:39.115, 10 giu 2023","320.864.288","38.389.696","13,6","0,0"
"17:01:40.116, 10 giu 2023","320.864.288","67.924.216","15,0","0,1"
"17:01:41.118, 10 giu 2023","320.864.288","81.009.272","13,2","0,0"
"17:01:42.120, 10 giu 2023","320.864.288","123.011.272","12,0","0,0"
"17:01:43.122, 10 giu 2023","320.864.288","164.121.976","12,3","0,0"
"17:01:44.123, 10 giu 2023","320.864.288","118.740.800","12,3","0,0"
"17:01:45.123, 10 giu 2023","320.864.288","26.162.144","13,1","0,1"
"17:01:46.125, 10 giu 2023","320.864.288","23.830.184","12,3","0,0"
"17:01:47.126, 10 giu 2023","320.864.288","30.448.160","13,4","0,0"
"17:01:48.127, 10 giu 2023","320.864.288","10.767.312","12,7","0,0"
"17:01:49.129, 10 giu 2023","320.864.288","182.814.624","13,0","0,0"
"17:01:50.130, 10 giu 2023","320.864.288","188.302.408","12,2","0,0"
"17:01:51.132, 10 giu 2023","320.864.288","178.021.648","12,6","0,0"
"17:01:52.133, 10 giu 2023","320.864.288","168.687.920","12,1","0,0"
"17:01:53.135, 10 giu 2023","320.864.288","189.677.824","13,1","0,0"
"17:01:54.137, 10 giu 2023","320.864.288","68.794.336","13,6","0,1"
"17:01:55.138, 10 giu 2023","320.864.288","131.771.280","12,0","0,0"
"17:01:56.139, 10 giu 2023","320.864.288","132.228.800","14,3","0,1"
"17:01:57.141, 10 giu 2023","320.864.288","149.188.128","13,5","0,0"
"17:01:58.142, 10 giu 2023","320.864.288","167.975.856","12,4","0,0"
"17:01:59.144, 10 giu 2023","320.864.288","186.219.872","12,8","0,0"
"17:02:00.145, 10 giu 2023","320.864.288","134.092.480","13,0","0,0"
"17:02:01.145, 10 giu 2023","320.864.288","29.665.632","13,4","0,1"
"17:02:02.147, 10 giu 2023","320.864.288","12.761.856","12,2","0,0"
"17:02:03.148, 10 giu 2023","320.864.288","191.021.544","12,2","0,0"
"17:02:04.149, 10 giu 2023","320.864.288","186.629.904","13,6","0,0"
"17:02:05.150, 10 giu 2023","320.864.288","176.695.688","13,3","0,0"
"17:02:06.152, 10 giu 2023","320.864.288","192.959.776","13,0","0,0"
"17:02:07.154, 10 giu 2023","320.864.288","188.402.128","12,4","0,0"
"17:02:08.156, 10 giu 2023","320.864.288","178.824.112","13,1","0,0"
"17:02:09.156, 10 giu 2023","320.864.288","173.715.336","12,2","0,0"
"17:02:10.157, 10 giu 2023","320.864.288","14.581.456","12,8","0,1"
"17:02:11.159, 10 giu 2023","320.864.288","51.743.536","13,2","0,0"
"17:02:12.160, 10 giu 2023","320.864.288","99.041.232","14,5","0,0"
"17:02:13.160, 10 giu 2023","320.864.288","18.692.784","15,2","0,0"
"17:02:14.162, 10 giu 2023","320.864.288","71.985.472","12,7","0,0"
"17:02:15.163, 10 giu 2023","320.864.288","145.511.104","12,0","0,0"
"17:02:16.165, 10 giu 2023","320.864.288","22.590.912","15,6","0,1"
"17:02:17.167, 10 giu 2023","320.864.288","22.571.616","12,3","0,0"
"17:02:18.168, 10 giu 2023","320.864.288","48.439.560","12,3","0,0"
"17:02:19.170, 10 giu 2023","320.864.288","69.411.080","13,6","0,0"
"17:02:20.170, 10 giu 2023","320.864.288","79.896.840","12,3","0,0"
"17:02:21.171, 10 giu 2023","320.864.288","88.285.448","13,1","0,0"
"17:02:22.172, 10 giu 2023","320.864.288","94.576.904","12,5","0,0"
"17:02:23.173, 10 giu 2023","320.864.288","100.868.360","12,4","0,0"
"17:02:24.174, 10 giu 2023","320.864.288","107.159.816","12,7","0,0"
"17:02:25.175, 10 giu 2023","320.864.288","111.354.120","12,4","0,0"
"17:02:26.176, 10 giu 2023","320.864.288","115.548.424","13,1","0,0"
"17:02:27.177, 10 giu 2023","320.864.288","121.839.880","12,0","0,0"
"17:02:28.178, 10 giu 2023","320.864.288","126.034.184","12,2","0,0"
"17:02:29.179, 10 giu 2023","320.864.288","130.228.488","12,9","0,0"
"17:02:30.181, 10 giu 2023","320.864.288","134.422.792","12,2","0,0"
"17:02:31.182, 10 giu 2023","320.864.288","138.617.096","12,3","0,0"
"17:02:32.184, 10 giu 2023","320.864.288","142.811.400","12,3","0,0"
"17:02:33.186, 10 giu 2023","320.864.288","147.005.704","12,4","0,0"
"17:02:34.187, 10 giu 2023","320.864.288","151.200.008","12,4","0,0"
"17:02:35.189, 10 giu 2023","320.864.288","157.491.464","13,7","0,0"
"17:02:36.191, 10 giu 2023","320.864.288","159.588.616","12,3","0,0"
"17:02:37.192, 10 giu 2023","320.864.288","163.782.920","13,2","0,0"
"17:02:38.194, 10 giu 2023","320.864.288","167.977.224","12,6","0,0"
"17:02:39.196, 10 giu 2023","320.864.288","172.171.528","13,5","0,0"
"17:02:40.197, 10 giu 2023","320.864.288","176.365.832","12,0","0,0"
"17:02:41.198, 10 giu 2023","320.864.288","180.560.136","12,6","0,0"
"17:02:42.199, 10 giu 2023","320.864.288","182.657.288","12,3","0,0"
"17:02:43.201, 10 giu 2023","320.864.288","186.851.592","12,1","0,0"
"17:02:44.205, 10 giu 2023","320.864.288","188.948.744","14,9","0,0"
"17:02:45.203, 10 giu 2023","320.864.288","191.045.896","10,9","0,0"
"17:02:46.204, 10 giu 2023","320.864.288","193.143.048","13,4","0,0"
"17:02:47.205, 10 giu 2023","320.864.288","195.240.200","12,3","0,0"
"17:02:48.205, 10 giu 2023","320.864.288","197.337.352","12,1","0,0"
"17:02:49.206, 10 giu 2023","327.155.744","141.063.952","33,9","2,8"
"17:02:50.207, 10 giu 2023","327.155.744","141.063.952","14,9","0,0"
"17:02:51.209, 10 giu 2023","327.155.744","143.161.104","17,6","0,0"
"17:02:52.210, 10 giu 2023","327.155.744","147.355.408","14,4","0,0"
"17:02:53.211, 10 giu 2023","327.155.744","151.994.368","18,5","0,5"
"17:02:54.212, 10 giu 2023","327.155.744","154.091.520","12,7","0,0"
"17:02:55.214, 10 giu 2023","327.155.744","156.188.672","13,2","0,0"
"17:02:56.215, 10 giu 2023","327.155.744","160.382.976","12,8","0,0"
"17:02:57.216, 10 giu 2023","327.155.744","162.480.128","13,9","0,0"
"17:02:58.217, 10 giu 2023","327.155.744","165.327.872","26,5","0,6"
"17:02:59.218, 10 giu 2023","327.155.744","163.230.720","17,7","0,0"
"17:03:00.219, 10 giu 2023","327.155.744","165.327.872","13,7","0,0"
"17:03:01.221, 10 giu 2023","327.155.744","169.522.176","12,6","0,0"
"17:03:02.222, 10 giu 2023","327.155.744","171.619.328","12,9","0,0"
"17:03:03.224, 10 giu 2023","327.155.744","174.063.616","18,0","0,7"
"17:03:04.225, 10 giu 2023","327.155.744","176.160.768","13,1","0,0"
"17:03:05.227, 10 giu 2023","327.155.744","178.257.920","13,6","0,0"
"17:03:06.229, 10 giu 2023","327.155.744","182.452.224","13,2","0,0"
"17:03:07.230, 10 giu 2023","327.155.744","184.549.376","13,0","0,0"
"17:03:08.231, 10 giu 2023","327.155.744","186.237.440","18,8","0,8"
"17:03:09.233, 10 giu 2023","327.155.744","188.334.592","13,1","0,0"
"17:03:10.234, 10 giu 2023","327.155.744","190.431.744","14,1","0,0"
"17:03:11.236, 10 giu 2023","327.155.744","192.528.896","13,6","0,0"
"17:03:12.237, 10 giu 2023","327.155.744","196.723.200","13,4","0,0"
"17:03:13.251, 10 giu 2023","327.155.744","199.229.440","20,3","0,8"
"17:03:14.252, 10 giu 2023","335.544.352","201.326.592","29,3","0,0"
"17:03:15.253, 10 giu 2023","335.544.352","203.423.744","12,4","0,0"
"17:03:16.254, 10 giu 2023","335.544.352","205.520.896","12,5","0,0"
"17:03:17.256, 10 giu 2023","335.544.352","207.618.048","12,9","0,0"
"17:03:18.258, 10 giu 2023","335.544.352","209.715.200","14,5","0,0"
"17:03:19.260, 10 giu 2023","335.544.352","212.150.272","19,0","0,8"
"17:03:20.262, 10 giu 2023","335.544.352","214.247.424","13,2","0,0"
"17:03:21.263, 10 giu 2023","335.544.352","216.344.576","13,0","0,0"
"17:03:22.265, 10 giu 2023","335.544.352","218.441.728","12,9","0,0"
"17:03:23.267, 10 giu 2023","335.544.352","220.538.880","14,5","0,0"
